"Step","act_calvin_abc_fair - train/grad_norm","act_calvin_abc_fair - train/grad_norm__MIN","act_calvin_abc_fair - train/grad_norm__MAX","act_calvin_b - train/grad_norm","act_calvin_b - train/grad_norm__MIN","act_calvin_b - train/grad_norm__MAX"
"100","166.64888450622558","166.64888450622558","166.64888450622558","168.81309700012207","168.81309700012207","168.81309700012207"
"200","68.49529319763184","68.49529319763184","68.49529319763184","68.77287837982178","68.77287837982178","68.77287837982178"
"300","57.68031127929687","57.68031127929687","57.68031127929687","56.598446922302244","56.598446922302244","56.598446922302244"
"400","53.74202613830566","53.74202613830566","53.74202613830566","53.87420986175537","53.87420986175537","53.87420986175537"
"500","51.959595909118654","51.959595909118654","51.959595909118654","51.66194984436035","51.66194984436035","51.66194984436035"
"600","50.045533981323246","50.045533981323246","50.045533981323246","50.03554183959961","50.03554183959961","50.03554183959961"
"700","46.49237720489502","46.49237720489502","46.49237720489502","46.44185333251953","46.44185333251953","46.44185333251953"
"800","46.16425323486328","46.16425323486328","46.16425323486328","45.41645805358887","45.41645805358887","45.41645805358887"
"900","43.74029933929443","43.74029933929443","43.74029933929443","43.86552177429199","43.86552177429199","43.86552177429199"
"1000","42.29994510650635","42.29994510650635","42.29994510650635","42.32018333435059","42.32018333435059","42.32018333435059"
"1100","41.15816339492798","41.15816339492798","41.15816339492798","41.60739208221435","41.60739208221435","41.60739208221435"
"1200","39.836959476470945","39.836959476470945","39.836959476470945","39.54567106246948","39.54567106246948","39.54567106246948"
"1300","37.948470516204836","37.948470516204836","37.948470516204836","38.328317375183104","38.328317375183104","38.328317375183104"
"1400","37.54174243927002","37.54174243927002","37.54174243927002","36.976111278533935","36.976111278533935","36.976111278533935"
"1500","36.098363666534425","36.098363666534425","36.098363666534425","35.973848056793216","35.973848056793216","35.973848056793216"
"1600","34.02230079650879","34.02230079650879","34.02230079650879","34.08179710388183","34.08179710388183","34.08179710388183"
"1700","33.76872236251831","33.76872236251831","33.76872236251831","33.55021862030029","33.55021862030029","33.55021862030029"
"1800","32.61903577804566","32.61903577804566","32.61903577804566","32.53198848724365","32.53198848724365","32.53198848724365"
"1900","31.245417442321777","31.245417442321777","31.245417442321777","31.074458656311034","31.074458656311034","31.074458656311034"
"2000","29.43577871322632","29.43577871322632","29.43577871322632","29.119173221588134","29.119173221588134","29.119173221588134"
